entityId,time_utc,availableBikeNumber
27183,2025-12-14 08:00:00+00:00,
27183,2025-12-14 09:00:00+00:00,
27183,2025-12-14 10:00:00+00:00,
27183,2025-12-14 11:00:00+00:00,
27183,2025-12-14 12:00:00+00:00,
27183,2025-12-14 13:00:00+00:00,
27183,2025-12-14 14:00:00+00:00,
27183,2025-12-14 15:00:00+00:00,
27183,2025-12-14 16:00:00+00:00,
27183,2025-12-14 17:00:00+00:00,
27183,2025-12-14 18:00:00+00:00,
27183,2025-12-14 19:00:00+00:00,
27183,2025-12-14 20:00:00+00:00,
27183,2025-12-14 21:00:00+00:00,
27183,2025-12-14 22:00:00+00:00,
27183,2025-12-14 23:00:00+00:00,
27183,2025-12-15 00:00:00+00:00,
27183,2025-12-15 01:00:00+00:00,
27183,2025-12-15 02:00:00+00:00,
27183,2025-12-15 03:00:00+00:00,
27183,2025-12-15 04:00:00+00:00,
27183,2025-12-15 05:00:00+00:00,
27183,2025-12-15 06:00:00+00:00,
27183,2025-12-15 07:00:00+00:00,5.0
27372,2025-12-14 08:00:00+00:00,
27372,2025-12-14 09:00:00+00:00,
27372,2025-12-14 10:00:00+00:00,
27372,2025-12-14 11:00:00+00:00,
27372,2025-12-14 12:00:00+00:00,
27372,2025-12-14 13:00:00+00:00,
27372,2025-12-14 14:00:00+00:00,
27372,2025-12-14 15:00:00+00:00,
27372,2025-12-14 16:00:00+00:00,
27372,2025-12-14 17:00:00+00:00,
27372,2025-12-14 18:00:00+00:00,
27372,2025-12-14 19:00:00+00:00,
27372,2025-12-14 20:00:00+00:00,
27372,2025-12-14 21:00:00+00:00,
27372,2025-12-14 22:00:00+00:00,
27372,2025-12-14 23:00:00+00:00,
27372,2025-12-15 00:00:00+00:00,
27372,2025-12-15 01:00:00+00:00,
27372,2025-12-15 02:00:00+00:00,
27372,2025-12-15 03:00:00+00:00,
27372,2025-12-15 04:00:00+00:00,
27372,2025-12-15 05:00:00+00:00,
27372,2025-12-15 06:00:00+00:00,
27372,2025-12-15 07:00:00+00:00,7.0
27373,2025-12-14 08:00:00+00:00,
27373,2025-12-14 09:00:00+00:00,
27373,2025-12-14 10:00:00+00:00,
27373,2025-12-14 11:00:00+00:00,
27373,2025-12-14 12:00:00+00:00,
27373,2025-12-14 13:00:00+00:00,
27373,2025-12-14 14:00:00+00:00,
27373,2025-12-14 15:00:00+00:00,
27373,2025-12-14 16:00:00+00:00,
27373,2025-12-14 17:00:00+00:00,
27373,2025-12-14 18:00:00+00:00,
27373,2025-12-14 19:00:00+00:00,
27373,2025-12-14 20:00:00+00:00,
27373,2025-12-14 21:00:00+00:00,
27373,2025-12-14 22:00:00+00:00,
27373,2025-12-14 23:00:00+00:00,
27373,2025-12-15 00:00:00+00:00,
27373,2025-12-15 01:00:00+00:00,
27373,2025-12-15 02:00:00+00:00,
27373,2025-12-15 03:00:00+00:00,
27373,2025-12-15 04:00:00+00:00,
27373,2025-12-15 05:00:00+00:00,
27373,2025-12-15 06:00:00+00:00,
27373,2025-12-15 07:00:00+00:00,7.0
27374,2025-12-14 08:00:00+00:00,
27374,2025-12-14 09:00:00+00:00,
27374,2025-12-14 10:00:00+00:00,
27374,2025-12-14 11:00:00+00:00,
27374,2025-12-14 12:00:00+00:00,
27374,2025-12-14 13:00:00+00:00,
27374,2025-12-14 14:00:00+00:00,
27374,2025-12-14 15:00:00+00:00,
27374,2025-12-14 16:00:00+00:00,
27374,2025-12-14 17:00:00+00:00,
27374,2025-12-14 18:00:00+00:00,
27374,2025-12-14 19:00:00+00:00,
27374,2025-12-14 20:00:00+00:00,
27374,2025-12-14 21:00:00+00:00,
27374,2025-12-14 22:00:00+00:00,
27374,2025-12-14 23:00:00+00:00,
27374,2025-12-15 00:00:00+00:00,
27374,2025-12-15 01:00:00+00:00,
27374,2025-12-15 02:00:00+00:00,
27374,2025-12-15 03:00:00+00:00,
27374,2025-12-15 04:00:00+00:00,
27374,2025-12-15 05:00:00+00:00,
27374,2025-12-15 06:00:00+00:00,
27374,2025-12-15 07:00:00+00:00,14.0
27375,2025-12-14 08:00:00+00:00,
27375,2025-12-14 09:00:00+00:00,
27375,2025-12-14 10:00:00+00:00,
27375,2025-12-14 11:00:00+00:00,
27375,2025-12-14 12:00:00+00:00,
27375,2025-12-14 13:00:00+00:00,
27375,2025-12-14 14:00:00+00:00,
27375,2025-12-14 15:00:00+00:00,
27375,2025-12-14 16:00:00+00:00,
27375,2025-12-14 17:00:00+00:00,
27375,2025-12-14 18:00:00+00:00,
27375,2025-12-14 19:00:00+00:00,
27375,2025-12-14 20:00:00+00:00,
27375,2025-12-14 21:00:00+00:00,
27375,2025-12-14 22:00:00+00:00,
27375,2025-12-14 23:00:00+00:00,
27375,2025-12-15 00:00:00+00:00,
27375,2025-12-15 01:00:00+00:00,
27375,2025-12-15 02:00:00+00:00,
27375,2025-12-15 03:00:00+00:00,
27375,2025-12-15 04:00:00+00:00,
27375,2025-12-15 05:00:00+00:00,
27375,2025-12-15 06:00:00+00:00,
27375,2025-12-15 07:00:00+00:00,7.0
27376,2025-12-14 08:00:00+00:00,
27376,2025-12-14 09:00:00+00:00,
27376,2025-12-14 10:00:00+00:00,
27376,2025-12-14 11:00:00+00:00,
27376,2025-12-14 12:00:00+00:00,
27376,2025-12-14 13:00:00+00:00,
27376,2025-12-14 14:00:00+00:00,
27376,2025-12-14 15:00:00+00:00,
27376,2025-12-14 16:00:00+00:00,
27376,2025-12-14 17:00:00+00:00,
27376,2025-12-14 18:00:00+00:00,
27376,2025-12-14 19:00:00+00:00,
27376,2025-12-14 20:00:00+00:00,
27376,2025-12-14 21:00:00+00:00,
27376,2025-12-14 22:00:00+00:00,
27376,2025-12-14 23:00:00+00:00,
27376,2025-12-15 00:00:00+00:00,
27376,2025-12-15 01:00:00+00:00,
27376,2025-12-15 02:00:00+00:00,
27376,2025-12-15 03:00:00+00:00,
27376,2025-12-15 04:00:00+00:00,
27376,2025-12-15 05:00:00+00:00,
27376,2025-12-15 06:00:00+00:00,
27376,2025-12-15 07:00:00+00:00,4.0
27377,2025-12-14 08:00:00+00:00,
27377,2025-12-14 09:00:00+00:00,
27377,2025-12-14 10:00:00+00:00,
27377,2025-12-14 11:00:00+00:00,
27377,2025-12-14 12:00:00+00:00,
27377,2025-12-14 13:00:00+00:00,
27377,2025-12-14 14:00:00+00:00,
27377,2025-12-14 15:00:00+00:00,
27377,2025-12-14 16:00:00+00:00,
27377,2025-12-14 17:00:00+00:00,
27377,2025-12-14 18:00:00+00:00,
27377,2025-12-14 19:00:00+00:00,
27377,2025-12-14 20:00:00+00:00,
27377,2025-12-14 21:00:00+00:00,
27377,2025-12-14 22:00:00+00:00,
27377,2025-12-14 23:00:00+00:00,
27377,2025-12-15 00:00:00+00:00,
27377,2025-12-15 01:00:00+00:00,
27377,2025-12-15 02:00:00+00:00,
27377,2025-12-15 03:00:00+00:00,
27377,2025-12-15 04:00:00+00:00,
27377,2025-12-15 05:00:00+00:00,
27377,2025-12-15 06:00:00+00:00,
27377,2025-12-15 07:00:00+00:00,2.0
27378,2025-12-14 08:00:00+00:00,
27378,2025-12-14 09:00:00+00:00,
27378,2025-12-14 10:00:00+00:00,
27378,2025-12-14 11:00:00+00:00,
27378,2025-12-14 12:00:00+00:00,
27378,2025-12-14 13:00:00+00:00,
27378,2025-12-14 14:00:00+00:00,
27378,2025-12-14 15:00:00+00:00,
27378,2025-12-14 16:00:00+00:00,
27378,2025-12-14 17:00:00+00:00,
27378,2025-12-14 18:00:00+00:00,
27378,2025-12-14 19:00:00+00:00,
27378,2025-12-14 20:00:00+00:00,
27378,2025-12-14 21:00:00+00:00,
27378,2025-12-14 22:00:00+00:00,
27378,2025-12-14 23:00:00+00:00,
27378,2025-12-15 00:00:00+00:00,
27378,2025-12-15 01:00:00+00:00,
27378,2025-12-15 02:00:00+00:00,
27378,2025-12-15 03:00:00+00:00,
27378,2025-12-15 04:00:00+00:00,
27378,2025-12-15 05:00:00+00:00,
27378,2025-12-15 06:00:00+00:00,
27378,2025-12-15 07:00:00+00:00,5.0
27379,2025-12-14 08:00:00+00:00,
27379,2025-12-14 09:00:00+00:00,
27379,2025-12-14 10:00:00+00:00,
27379,2025-12-14 11:00:00+00:00,
27379,2025-12-14 12:00:00+00:00,
27379,2025-12-14 13:00:00+00:00,
27379,2025-12-14 14:00:00+00:00,
27379,2025-12-14 15:00:00+00:00,
27379,2025-12-14 16:00:00+00:00,
27379,2025-12-14 17:00:00+00:00,
27379,2025-12-14 18:00:00+00:00,
27379,2025-12-14 19:00:00+00:00,
27379,2025-12-14 20:00:00+00:00,
27379,2025-12-14 21:00:00+00:00,
27379,2025-12-14 22:00:00+00:00,
27379,2025-12-14 23:00:00+00:00,
27379,2025-12-15 00:00:00+00:00,
27379,2025-12-15 01:00:00+00:00,
27379,2025-12-15 02:00:00+00:00,
27379,2025-12-15 03:00:00+00:00,
27379,2025-12-15 04:00:00+00:00,
27379,2025-12-15 05:00:00+00:00,
27379,2025-12-15 06:00:00+00:00,
27379,2025-12-15 07:00:00+00:00,0.0
27380,2025-12-14 08:00:00+00:00,
27380,2025-12-14 09:00:00+00:00,
27380,2025-12-14 10:00:00+00:00,
27380,2025-12-14 11:00:00+00:00,
27380,2025-12-14 12:00:00+00:00,
27380,2025-12-14 13:00:00+00:00,
27380,2025-12-14 14:00:00+00:00,
27380,2025-12-14 15:00:00+00:00,
27380,2025-12-14 16:00:00+00:00,
27380,2025-12-14 17:00:00+00:00,
27380,2025-12-14 18:00:00+00:00,
27380,2025-12-14 19:00:00+00:00,
27380,2025-12-14 20:00:00+00:00,
27380,2025-12-14 21:00:00+00:00,
27380,2025-12-14 22:00:00+00:00,
27380,2025-12-14 23:00:00+00:00,
27380,2025-12-15 00:00:00+00:00,
27380,2025-12-15 01:00:00+00:00,
27380,2025-12-15 02:00:00+00:00,
27380,2025-12-15 03:00:00+00:00,
27380,2025-12-15 04:00:00+00:00,
27380,2025-12-15 05:00:00+00:00,
27380,2025-12-15 06:00:00+00:00,
27380,2025-12-15 07:00:00+00:00,1.0
27381,2025-12-14 08:00:00+00:00,
27381,2025-12-14 09:00:00+00:00,
27381,2025-12-14 10:00:00+00:00,
27381,2025-12-14 11:00:00+00:00,
27381,2025-12-14 12:00:00+00:00,
27381,2025-12-14 13:00:00+00:00,
27381,2025-12-14 14:00:00+00:00,
27381,2025-12-14 15:00:00+00:00,
27381,2025-12-14 16:00:00+00:00,
27381,2025-12-14 17:00:00+00:00,
27381,2025-12-14 18:00:00+00:00,
27381,2025-12-14 19:00:00+00:00,
27381,2025-12-14 20:00:00+00:00,
