entityId,time_utc,precipitation,temperature,windSpeed
5465941,2025-08-10 16:00:00+00:00,0.0,19.345,4.7700000000000005
5465941,2025-08-10 17:00:00+00:00,0.0,18.535,3.745
5465941,2025-08-10 18:00:00+00:00,0.0,17.255,2.9875000000000003
5465941,2025-08-10 19:00:00+00:00,0.0,16.2,2.49
5465941,2025-08-10 20:00:00+00:00,0.0,14.704999999999998,2.25
5465941,2025-08-10 21:00:00+00:00,0.0,13.33,1.915
5465941,2025-08-10 22:00:00+00:00,0.0,12.455,1.65
5465941,2025-08-10 23:00:00+00:00,0.0,11.977500000000001,1.465
5465941,2025-08-11 00:00:00+00:00,0.0,11.315000000000001,1.4649999999999999
5465941,2025-08-11 01:00:00+00:00,0.0,10.807500000000001,1.63
5465941,2025-08-11 02:00:00+00:00,0.0,10.63,1.665
5465941,2025-08-11 03:00:00+00:00,0.0,10.752499999999998,1.87
5465941,2025-08-11 04:00:00+00:00,0.0,10.56,1.965
5465941,2025-08-11 05:00:00+00:00,0.0,10.665,2.035
5465941,2025-08-11 06:00:00+00:00,0.0,12.755,2.205
5465941,2025-08-11 07:00:00+00:00,0.0,15.39,2.4699999999999998
5465941,2025-08-11 08:00:00+00:00,0.0,17.2875,2.8800000000000003
5465941,2025-08-11 09:00:00+00:00,0.0,18.622500000000002,3.25
5465941,2025-08-11 10:00:00+00:00,0.0,19.3625,3.485
54331015,2025-08-10 11:00:00+00:00,0.0,20.777499999999996,8.49
54331015,2025-08-10 12:00:00+00:00,0.0,20.66,8.23
54331015,2025-08-10 13:00:00+00:00,0.0,20.66,7.46
54331015,2025-08-10 14:00:00+00:00,0.0,20.66,7.205
54331015,2025-08-10 15:00:00+00:00,0.0,19.66,6.945
54331015,2025-08-10 16:00:00+00:00,0.0,19.66,6.69
54331015,2025-08-10 17:00:00+00:00,0.0,18.6425,5.66
54331015,2025-08-10 18:00:00+00:00,0.0,17.66,3.86
54331015,2025-08-10 19:00:00+00:00,0.0,15.66,2.83
54331015,2025-08-10 20:00:00+00:00,0.0,14.16,2.57
54331015,2025-08-10 21:00:00+00:00,0.0,12.66,3.09
54331015,2025-08-10 22:00:00+00:00,0.0,12.16,2.83
54331015,2025-08-10 23:00:00+00:00,0.0,12.16,2.0549999999999997
54331015,2025-08-11 00:00:00+00:00,0.0,11.66,1.54
54331015,2025-08-11 01:00:00+00:00,0.0,11.16,2.06
54331015,2025-08-11 02:00:00+00:00,0.0,10.66,1.5450000000000002
54331015,2025-08-11 03:00:00+00:00,0.0,10.16,1.03
54331015,2025-08-11 04:00:00+00:00,0.0,10.16,1.03
54331015,2025-08-11 05:00:00+00:00,0.0,11.16,1.2850000000000001
54331015,2025-08-11 06:00:00+00:00,0.0,13.66,1.2850000000000001
54331015,2025-08-11 07:00:00+00:00,0.0,16.16,1.545
54331015,2025-08-11 08:00:00+00:00,0.0,16.6425,2.06
54331015,2025-08-11 09:00:00+00:00,0.0,17.5675,3.09
54331015,2025-08-11 10:00:00+00:00,0.0,18.1275,3.6050000000000004
54331021,2025-08-10 11:00:00+00:00,0.0,20.715,8.49
54331021,2025-08-10 12:00:00+00:00,0.0,20.5475,8.23
54331021,2025-08-10 13:00:00+00:00,0.0,20.5475,7.46
54331021,2025-08-10 14:00:00+00:00,0.0,20.5475,7.205
54331021,2025-08-10 15:00:00+00:00,0.0,19.5475,6.945
54331021,2025-08-10 16:00:00+00:00,0.0,19.56,6.69
54331021,2025-08-10 17:00:00+00:00,0.0,18.7975,5.66
54331021,2025-08-10 18:00:00+00:00,0.0,17.56,3.8600000000000003
54331021,2025-08-10 19:00:00+00:00,0.0,15.559999999999999,2.83
54331021,2025-08-10 20:00:00+00:00,0.0,14.297500000000001,2.57
54331021,2025-08-10 21:00:00+00:00,0.0,12.56,3.09
54331021,2025-08-10 22:00:00+00:00,0.0,12.0225,2.96
54331021,2025-08-10 23:00:00+00:00,0.0,12.035,2.3125
54331021,2025-08-11 00:00:00+00:00,0.0,11.797500000000001,1.54
54331021,2025-08-11 01:00:00+00:00,0.0,11.047500000000001,2.06
54331021,2025-08-11 02:00:00+00:00,0.0,10.56,1.545
54331021,2025-08-11 03:00:00+00:00,0.0,10.06,1.03
54331021,2025-08-11 04:00:00+00:00,0.0,10.06,1.03
54331021,2025-08-11 05:00:00+00:00,0.0,11.0475,1.2850000000000001
54331021,2025-08-11 06:00:00+00:00,0.0,13.5475,1.2850000000000001
54331021,2025-08-11 07:00:00+00:00,0.0,16.06,1.545
54331021,2025-08-11 08:00:00+00:00,0.0,16.5275,2.06
54331021,2025-08-11 09:00:00+00:00,0.0,17.4725,3.09
54331021,2025-08-11 10:00:00+00:00,0.0,18.03,3.6050000000000004
54351009,2025-08-10 11:00:00+00:00,0.0,20.5475,8.49
54351009,2025-08-10 12:00:00+00:00,0.0,20.7925,8.23
54351009,2025-08-10 13:00:00+00:00,0.0,21.490000000000002,7.46
54351009,2025-08-10 14:00:00+00:00,0.0,21.419999999999998,7.205
54351009,2025-08-10 15:00:00+00:00,0.0,19.56,6.945
54351009,2025-08-10 16:00:00+00:00,0.0,19.5625,6.69
54351009,2025-08-10 17:00:00+00:00,0.0,18.564999999999998,5.66
54351009,2025-08-10 18:00:00+00:00,0.0,17.56,3.8600000000000003
54351009,2025-08-10 19:00:00+00:00,0.0,15.559999999999999,2.83
54351009,2025-08-10 20:00:00+00:00,0.0,14.0675,2.57
54351009,2025-08-10 21:00:00+00:00,0.0,12.5625,3.09
54351009,2025-08-10 22:00:00+00:00,0.0,12.06,2.83
54351009,2025-08-10 23:00:00+00:00,0.0,12.06,2.0549999999999997
54351009,2025-08-11 00:00:00+00:00,0.0,11.56,1.54
54351009,2025-08-11 01:00:00+00:00,0.0,11.06,2.06
54351009,2025-08-11 02:00:00+00:00,0.0,10.56,1.5450000000000002
54351009,2025-08-11 03:00:00+00:00,0.0,10.06,1.03
54351009,2025-08-11 04:00:00+00:00,0.0,10.06,1.03
54351009,2025-08-11 05:00:00+00:00,0.0,11.06,1.2850000000000001
54351009,2025-08-11 06:00:00+00:00,0.0,14.057500000000001,1.2850000000000001
54351009,2025-08-11 07:00:00+00:00,0.0,16.09,1.545
54351009,2025-08-11 08:00:00+00:00,0.0,16.545,2.06
54351009,2025-08-11 09:00:00+00:00,0.0,17.455,3.09
54351009,2025-08-11 10:00:00+00:00,0.0,18.060000000000002,3.6050000000000004
