entityId,station_name,maximum_capacity,latitude,longitude,subarea
24399,Exerzierplatz,30,54.321583,10.128389,Kiel Innenstadt
24398,Rathausplatz,30,54.322361,10.133861,Kiel Innenstadt
24397,Hauptbahnhof,42,54.315972,10.132278,Kiel Innenstadt
24396,Rathaus Waisenhofstrasse,25,54.321722,10.132444,Kiel Innenstadt
24395,Wellingdorf Stadtteilzentrum,25,54.326139,10.183028,Kiel Osten
24394,KiTa Fusssteigkoppel,20,54.342126,10.090524,Kiel Westen
24393,Tilsiter Platz,30,54.32325,10.17025,Kiel Osten
24392,Andreas Gayk Strasse,30,54.318199,10.134068,Kiel Innenstadt
24391,Bluecherplatz,30,54.341722,10.136861,Kiel Westen
24390,CITTI PARK,30,54.311667,10.099722,Kiel Westen
24389,Hansastr  Gutenbergstr ,20,54.332111,10.124861,Kiel Westen
24388,Schoenkirchen Gemeindehaus,20,54.339056,10.223028,Kiel Osten
24387,Moenkeberg Anleger,25,54.351445,10.178445,Kiel Osten
24386,Faehranleger Moeltenort,14,54.376793,10.196216,Kiel Osten
24385,Dreiecksplatz,15,54.328528,10.134417,Kiel Innenstadt
24384,CAU Universitaetsbibliothek,40,54.346612,10.112408,Kiel Westen
24383,CAU Sportstaetten,35,54.343444,10.111139,Kiel Westen
24381,Westring Eckernfoerder Str ,30,54.328543,10.117925,Kiel Westen
24380,Vinetaplatz,20,54.311417,10.146972,Kiel Osten
24379,RBZ Wirtschaft,30,54.340743,10.126604,Kiel Westen
24378,Muthesius Kunsthochschule,20,54.327389,10.128333,Kiel Innenstadt
24377,Kronshagen Rathaus,25,54.332704,10.085497,Kiel Westen
24376,Kirchhofallee,20,54.316194,10.120583,Kiel Innenstadt
24375,Hoernbad,30,54.308643,10.135253,Kiel Osten
24374,Holsten  Hafenstrasse,20,54.321,10.135389,Kiel Innenstadt
24373,Christian Albrechts Platz,30,54.338651,10.123843,Kiel Westen
24372,Bahnhof Suchsdorf,20,54.349822,10.090947,Kiel Westen
24371,Anleger Reventlou,50,54.333647,10.151714,Kiel Innenstadt
24370,Alter Markt,25,54.322799,10.139499,Kiel Innenstadt
24369,Alte Mu Brunswiker Str ,15,54.327583,10.1415,Kiel Innenstadt
24368,Umsteiger,22,54.314861,10.131167,Kiel Innenstadt
24367,Anleger Dietrichsdorf,30,54.329611,10.178556,Kiel Osten
30023,Freibad Raisdorf  saisonal bis 22 09 24 ,15,54.285998,10.246081,Kiel Umland
30515,Alte Luebecker Chaussee,15,54.3045643,10.1254699,Kiel Innenstadt
24470,Fegetasche,20,54.153741,10.449131,Plön
28814,Waabs Strand,15,54.525,9.999951,Eckernförde Umland Norden
